Query,Run,ElapsedTime,ExecutionTime,CompileTime,QueueWaitTime,ResultCount,ResultSize,ProcessedObjects,bufferCacheHitRatio,bufferCachePageReadCount
"set `compiler.optimize.groupby` 'false';use tweetverse;select language, count(*) as c from tweetsdataset t group by t.lang as language;",2,99.778697056s,99.778063806s,7.290008ms,0ns,66,2512,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select language, count(*) as c from tweetsdataset t group by t.lang as language;",3,100.745316711s,100.745003342s,5.152981ms,0ns,66,2512,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select language, count(*) as c from tweetsdataset t group by t.lang as language;",4,99.385701525s,99.385408817s,3.665689ms,0ns,66,2512,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select language, count(*) as c from tweetsdataset t group by t.lang as language;",5,98.866277488s,98.865627909s,12.819169ms,0ns,66,2512,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select language, count(*) as c from tweetsdataset t group by t.lang as language;",6,100.730506883s,100.729869918s,7.249312ms,0ns,66,2512,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select language, count(*) as c from tweetsdataset t group by t.lang as language;",7,98.145915944s,98.145033482s,5.754735ms,0ns,66,2512,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select language, count(*) as c from tweetsdataset t group by t.lang as language;",8,99.886020965s,99.885236156s,5.476566ms,0ns,66,2512,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select language, count(*) as c from tweetsdataset t group by t.lang as language;",9,100.013678584s,100.012976904s,3.869494ms,0ns,66,2512,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'false';use tweetverse;select language, count(*) as c from tweetsdataset t group by t.lang as language;",10,100.405501362s,100.405210199s,3.771785ms,0ns,66,2512,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select language, count(*) as c from tweetsdataset t group by t.lang as language;",1,110.01819308s,110.017815645s,4.018745ms,0ns,66,2512,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select language, count(*) as c from tweetsdataset t group by t.lang as language;",2,110.600043385s,110.599749003s,3.557579ms,0ns,66,2512,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select language, count(*) as c from tweetsdataset t group by t.lang as language;",3,110.864463347s,110.864166327s,3.613773ms,0ns,66,2512,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select language, count(*) as c from tweetsdataset t group by t.lang as language;",4,111.010658904s,111.01038094s,3.721189ms,0ns,66,2512,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select language, count(*) as c from tweetsdataset t group by t.lang as language;",5,110.843871569s,110.843593518s,3.686889ms,0ns,66,2512,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select language, count(*) as c from tweetsdataset t group by t.lang as language;",6,110.543063546s,110.542760804s,3.394159ms,0ns,66,2512,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select language, count(*) as c from tweetsdataset t group by t.lang as language;",7,110.541597795s,110.541214973s,3.555392ms,0ns,66,2512,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select language, count(*) as c from tweetsdataset t group by t.lang as language;",8,110.850828194s,110.850523142s,3.660694ms,0ns,66,2512,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select language, count(*) as c from tweetsdataset t group by t.lang as language;",9,110.064317063s,110.064027159s,3.358683ms,0ns,66,2512,42246255,0.00%,2344926
"set `compiler.optimize.groupby` 'true';use tweetverse;select language, count(*) as c from tweetsdataset t group by t.lang as language;",10,110.877879319s,110.877591755s,3.381775ms,0ns,66,2512,42246255,0.00%,2344926
"use tweetverse;select language, count(*) as c from tweetsdataset t /*+ hash */ group by t.lang as language;",1,110.327396835s,110.327109902s,3.529776ms,0ns,66,2512,42246255,0.00%,2344926
"use tweetverse;select language, count(*) as c from tweetsdataset t /*+ hash */ group by t.lang as language;",2,111.066461227s,111.066175416s,3.436855ms,0ns,66,2512,42246255,0.00%,2344926
