Query,AverageExecutionTime(ms),StdDevExecutionTime(ms),AverageElapsedTime(ms),AverageCompileTime(ms),AverageQueueWaitTime(ms),AverageResultCount,AverageResultSize,AverageProcessedObjects,AverageBufferCacheHitRatio,AverageBufferCachePageReadCount
"set `compiler.optimize.groupby` 'true';use testopen16gb; select ten, count(ten) as count from testdefopen16gb group by testdefopen16gb.ten;",6610.8324297,47.19645380261021,6610.994231,2.6466957,0.0,10.0,370.0,18083796.0,0.0,196172.0
"use testopen16gb; select ten, count(ten) as count from testdefopen16gb /*+ hash */ group by testdefopen16gb.ten;",6727.559172700001,39.289911775746276,6727.724804400001,2.5401961,0.0,10.0,370.0,18083796.0,0.0,196172.0
"set `compiler.optimize.groupby` 'false';use testopen16gb; select tenkgroups, count(tenkgroups) as count from testdefopen16gb group by testdefopen16gb.tenkgroups;",10294.4143128,461.0817113007102,10294.5796371,2.6630293,0.0,10000.0,438890.0,18083796.0,0.0,196172.0
"set `compiler.optimize.groupby` 'true';use testopen16gb; select tenkgroups, count(tenkgroups) as count from testdefopen16gb group by testdefopen16gb.tenkgroups;",6837.5685115999995,33.943867843325854,6837.725807100001,2.5742948999999995,0.1,10000.0,438890.0,18083796.0,0.0,196172.0
"use testopen16gb; select tenkgroups, count(tenkgroups) as count from testdefopen16gb /*+ hash */ group by testdefopen16gb.tenkgroups;",7261.5219931,51.80962173835442,7261.690531799999,2.5252605000000004,0.0,10000.0,438890.0,18083796.0,0.0,196172.0
"set `compiler.optimize.groupby` 'false';use testopen16gb; select milliongroups, count(milliongroups) as count from testdefopen16gb group by testdefopen16gb.milliongroups;",15925.113006299998,565.0058373869422,15925.269141,2.5727014,0.0,1000000.0,46717516.0,18083796.0,0.0,196172.0
"set `compiler.optimize.groupby` 'true';use testopen16gb; select milliongroups, count(milliongroups) as count from testdefopen16gb group by testdefopen16gb.milliongroups;",13986.9854247,577.2328075303761,13987.1395184,2.6474670999999996,0.1,1000000.0,46717516.0,18083796.0,0.0,196172.0
"use testopen16gb; select milliongroups, count(milliongroups) as count from testdefopen16gb /*+ hash */ group by testdefopen16gb.milliongroups;",19967.839994899998,91.56153309588785,19968.012344500003,2.6686004,0.0,1000000.0,46717516.0,18083796.0,0.0,196172.0
"set `compiler.optimize.groupby` 'false';use testopen16gb; select similarstring, count(similarstring) as count from testdefopen16gb group by testdefopen16gb.similarstring;",24833.225899999998,408.53108823670965,24833.381065700003,2.5226318,0.1,1.0,149.0,18083796.0,0.0,196172.0
"set `compiler.optimize.groupby` 'true';use testopen16gb; select similarstring, count(similarstring) as count from testdefopen16gb group by testdefopen16gb.similarstring;",7003.503140700001,38.51998329008123,7003.6561145999995,2.5398571,0.0,1.0,149.0,18083796.0,0.0,196172.0
